ORDDFW,37432
DFWORD,36845
LGAORD,36695
ORDLGA,36665
DFWLAX,32906
LAXDFW,32902
DFWAUS,30672
AUSDFW,30666
LGADFW,29576
DFWLGA,29514
DFWSAT,29372
SATDFW,29367
DENDFW,24195
DFWDEN,24190
LAXORD,23906
ORDLAX,23902
ORDSTL,23485
STLORD,23481
STLDFW,23346
DFWSTL,23334
ATLDFW,22956
DFWATL,22947
LAXJFK,22034
JFKLAX,22032
DCADFW,22024
DFWDCA,22013
LASDFW,21770
DFWLAS,21764
BOSORD,21643
ORDBOS,21641
SANDFW,21342
DFWSAN,21331
PHXDFW,20795
DFWPHX,20787
MCODFW,20774
DFWMCO,20764
DFWMCI,20378
MCIDFW,20349
MIALGA,19892
LGAMIA,19887
DFWSNA,19819
DFWMIA,19701
MIADFW,19695
SNADFW,19359
SFODFW,19158
DFWSFO,19154
BOSDFW,19078
DFWBOS,19075
SEADFW,18723
DFWSEA,18720
ORDMIA,18296
MIAORD,18289
MSPORD,16999
ORDMSP,16985
DCAMIA,16949
MIADCA,16937
TPADFW,16318
DFWTPA,16318
DCAORD,16262
ORDDCA,16249
ELPDFW,16182
DFWELP,16178
DFWTUS,16126
DFWBNA,16109
BNADFW,16088
ABQDFW,16024
DFWABQ,16012
SJUMIA,15993
MIASJU,15988
TUSDFW,15860
PHLDFW,15672
DFWPHL,15668
IAHDFW,15355
DFWIAH,15351
SJCDFW,15294
BWIDFW,15188
DFWBWI,15180
DFWSJC,15119
EWRORD,15055
ORDEWR,15049
RDUDFW,14994
DFWRDU,14984
FLLDFW,14794
DFWFLL,14790
MSYDFW,14562
DFWMSY,14557
SFOLAX,14515
PHLORD,14507
LAXSFO,14507
ORDPHL,14502
EWRDFW,14392
DFWEWR,14382
ORDMCI,13246
MCIORD,13245
DENORD,12766
ORDDEN,12765
LAXMIA,12743
MIALAX,12739
DTWDFW,12714
DFWDTW,12710
ORDSFO,12692
SFOORD,12688
SJUJFK,12577
JFKSJU,12568
BOSMIA,12545
MIABOS,12541
OKCDFW,12504
DFWOKC,12502
DFWIAD,12287
IADDFW,12285
DFWMSP,12269
MSPDFW,12269
COSDFW,12176
DFWCOS,12172
INDDFW,11909
DFWIND,11905
MIAJFK,11854
JFKMIA,11849
ATLMIA,11782
MIAATL,11780
MIAMCO,11770
MCOMIA,11769
AUSORD,11610
ORDAUS,11606
ORDPHX,11188
PHXORD,11180
DTWORD,11132
ORDDTW,11122
SANORD,11080
ORDSAN,11071
ONTDFW,11042
DFWONT,11038
SMFDFW,10820
DFWSMF,10815
ORDLAS,10605
LASORD,10603
RDUORD,10561
ORDRDU,10554
DFWTUL,10464
TULDFW,10453
SLCDFW,10326
DFWSLC,10321
DFWCLT,10261
CLTDFW,10261
JFKSFO,10223
SFOJFK,10221
SEAORD,10169
ORDSEA,10164
TPAMIA,10156
MIATPA,10153
PDXDFW,10073
DFWPDX,10069
LGASTL,9915
STLLGA,9913
ORDATL,9499
ATLORD,9494
MCOORD,9482
ORDMCO,9479
STLLAX,9277
LAXSTL,9271
OMADFW,9226
DFWOMA,9223
SNAORD,9043
OAKDFW,8805
DFWOAK,8799
ORDSNA,8743
BURDFW,8604
DFWBUR,8600
MFEDFW,8239
DFWMFE,8238
HNLLAX,8143
LAXHNL,8141
BOSLAX,7806
LAXBOS,7804
DFWMEM,7781
MEMDFW,7779
JAXDFW,7779
DFWJAX,7773
ORDIAH,7721
IAHORD,7719
DENLAX,7687
LAXDEN,7687
IAHMIA,7614
MIAIAH,7608
CMHDFW,7511
DFWCMH,7507
SATORD,7482
ORDSAT,7479
MCOSJU,7419
SJUMCO,7414
SJCORD,7279
LGAMCO,7276
MCOLGA,7272
ORDSJC,7266
ORDTUL,7150
TULORD,7145
DFWBHM,7113
BHMDFW,7113
SJUDFW,7067
DFWSJU,7063
EWRMIA,7033
MIAEWR,7026
SJUFLL,6909
FLLSJU,6908
TUSORD,6883
BDLDFW,6846
STLDCA,6844
DCASTL,6844
DFWBDL,6837
ICTDFW,6683
DFWICT,6678
PHLMIA,6671
MIAPHL,6667
ORDTUS,6611
MIARDU,6558
RDUMIA,6557
FLLORD,6494
ORDFLL,6491
IADLAX,6401
LAXIAD,6399
LAXAUS,6348
AUSLAX,6347
RNODFW,6315
DFWRNO,6309
RICDFW,6302
DFWRIC,6299
SFOMIA,6297
MIASFO,6292
BDLORD,6279
ORDBDL,6279
TPAORD,6268
ORDTPA,6267
MSYMIA,6203
MIAMSY,6202
BOSSJU,6187
SJUBOS,6186
SJUORD,6098
ORDSJU,6088
BWIMIA,5976
MIABWI,5973
ORFDFW,5954
DFWORF,5953
ORDIND,5933
INDORD,5932
AUSSJC,5819
SJCAUS,5817
MCOSTL,5710
STLMCO,5708
MSYORD,5670
ORDMSY,5663
JFKDFW,5644
DFWJFK,5640
PSPDFW,5337
DFWPSP,5335
BNALGA,5326
LGABNA,5307
LGBDFW,5222
DFWLGB,5215
EWRLAX,5208
LAXEWR,5208
MDWDFW,5173
DFWMDW,5168
STLBOS,5095
BOSSTL,5093
FLLLGA,5053
LGAFLL,5051
LAXFLL,5003
FLLLAX,5001
STLMIA,4946
MIASTL,4945
SDFDFW,4912
DFWSDF,4911
DAYDFW,4889
DFWDAY,4887
SEASTL,4845
STLSEA,4844
RSWDFW,4811
DFWRSW,4810
HSVDFW,4788
DFWHSV,4785
BWIORD,4740
ORDBWI,4735
SFOSTL,4698
STLSFO,4696
TPALGA,4688
LGATPA,4686
SLCORD,4676
ORDSLC,4675
SFOBOS,4618
BOSSFO,4616
FATDFW,4573
DFWFAT,4572
ORDABQ,4502
ABQORD,4500
ORDELP,4489
ELPORD,4488
LASLAX,4477
LAXLAS,4476
PBIDFW,4461
DFWPBI,4459
OGGLAX,4449
LAXOGG,4438
STLLAS,4418
LASSTL,4416
PVDORD,4412
ORDPVD,4408
DFWHNL,4398
SNASJC,4397
HNLDFW,4392
DFWXNA,4327
XNADFW,4326
SJCSNA,4218
STTMIA,4119
MIASTT,4116
EWRSJU,4096
SJUEWR,4092
LASMIA,4049
MIALAS,4046
LGAATL,4025
ATLLGA,4023
ORDPDX,4013
PDXORD,4012
DFWPIT,3960
PITDFW,3958
BNAORD,3879
ORDBNA,3876
SANJFK,3862
JFKSAN,3860
RNOORD,3846
ORDRNO,3845
HPNORD,3771
ORDHPN,3766
STLTPA,3756
TPASTL,3754
MIADTW,3684
DTWMIA,3681
PHLSJU,3477
SJUPHL,3472
SANSTL,3385
STLSAN,3384
ORDRSW,3205
RSWORD,3203
MIABNA,3074
BNAMIA,3073
PSPORD,2948
ORDPSP,2943
TPASJU,2894
SJUTPA,2893
LASSJC,2880
SJCLAS,2879
LIHLAX,2875
LAXLIH,2872
RSWSTL,2817
STLRSW,2815
BWISTL,2813
STLBWI,2808
KOALAX,2792
LAXKOA,2783
IADMIA,2732
MIAIAD,2730
XNAORD,2643
ORDXNA,2641
MCOLAX,2625
LAXMCO,2625
SNASTL,2598
STLSNA,2595
ORDHNL,2583
