BOSEWR,22751
EWRBOS,22348
IAHLAX,21956
EWRIAH,21787
MSYIAH,21767
IAHMSY,21754
LAXIAH,21726
IAHEWR,21198
IAHSAT,21069
SATIAH,21066
IAHAUS,20782
AUSIAH,20771
EWRMCO,19437
MCOEWR,19433
LGAIAH,19358
IAHLGA,19308
FLLEWR,16858
EWRFLL,16825
IAHDCA,16180
DCAIAH,16156
EWRATL,15382
ATLEWR,15349
IAHLAS,15281
IAHORD,15206
LASIAH,15135
ORDIAH,15105
DENIAH,15099
ORDEWR,14982
IAHDEN,14973
EWRORD,14881
SFOIAH,13555
IAHSFO,13540
DFWIAH,13409
IAHDFW,13380
MCOIAH,13372
IAHMCO,13352
EWRTPA,13281
TPAEWR,13277
LAXEWR,13269
EWRLAX,13063
IAHSAN,13017
SANIAH,13011
SEAIAH,12949
IAHSEA,12933
CLEIAH,12833
IAHCLE,12830
PBIEWR,12717
EWRPBI,12692
EWRLAS,12625
LASEWR,12587
EWRCLE,12425
CLEEWR,12387
ATLIAH,12167
IAHATL,12130
EWRSFO,11888
SFOEWR,11881
FLLIAH,11369
IAHFLL,11368
IAHTPA,11258
TPAIAH,11257
IAHPHL,11143
PHLIAH,11141
PHXIAH,11119
BWIIAH,11076
IAHPHX,11050
IAHBWI,10924
IAHSNA,10837
IAHBOS,10785
DTWIAH,10659
IAHDTW,10631
MIAIAH,10532
IAHMIA,10525
SNAIAH,10493
MIAEWR,10451
EWRMIA,10433
BOSIAH,10417
MFEIAH,10352
IAHMFE,10349
EWRDFW,9798
DFWEWR,9769
EWRPHX,9179
DCAEWR,9159
EWRDCA,9109
PHXEWR,8944
SJUEWR,8903
EWRSJU,8901
EWRSEA,7827
SEAEWR,7810
LASCLE,7663
CLELAS,7485
CLEMCO,7407
MCOCLE,7387
EWRDEN,7346
RSWEWR,7264
EWRRSW,7260
DENEWR,7227
ABQIAH,7131
IAHABQ,7129
IAHMSP,7066
MSPIAH,7058
SANEWR,6652
EWRSAN,6650
IAHPDX,6516
PDXIAH,6508
CLELGA,6477
CLEBOS,6427
LGACLE,6425
BOSCLE,6392
IAHSJC,6238
SJCIAH,6235
LAXCLE,6084
CLELAX,6062
EWRMSY,5805
MSYEWR,5802
IAHONT,5791
ONTIAH,5790
ELPIAH,5726
IAHELP,5725
SMFIAH,5716
IAHSMF,5715
SNAEWR,5579
MDWEWR,5358
EWRMDW,5357
IAHOAK,5282
OAKIAH,5281
EWRSNA,5235
EWRRDU,5000
RDUEWR,4971
IAHCMH,4758
CMHIAH,4756
CLETPA,4697
TPACLE,4696
RDUIAH,4687
TULIAH,4678
IAHTUL,4676
IAHRDU,4657
IAHSLC,4626
SLCIAH,4626
AUSEWR,4590
PHXCLE,4586
EWRAUS,4580
EWRJAX,4559
JAXEWR,4508
CLEPHX,4413
PBIIAH,4337
IAHPBI,4333
IAHHNL,4319
HNLIAH,4318
INDIAH,4295
IAHIND,4273
JFKIAH,4165
IAHJFK,4164
MSPEWR,4149
EWRMSP,4142
CMHEWR,4136
EWRCMH,4131
IAHTUS,4082
TUSIAH,4081
MCIIAH,4072
IAHMCI,4071
CLEFLL,4056
SEAANC,4038
ANCSEA,4036
FLLCLE,4021
JAXIAH,4010
SATEWR,3990
EWRSAT,3985
IAHJAX,3957
OKCIAH,3935
IAHOKC,3933
RSWIAH,3914
IAHRSW,3913
CLEBWI,3857
BWICLE,3706
CLERSW,3637
RSWCLE,3631
PDXEWR,3551
EWRPDX,3545
IAHPIT,3478
PITIAH,3475
IAHSJU,3267
SJUIAH,3265
EWRDTW,3141
